"Subject","Task","SV","Age"
110,2,0.640625,"OA"
110,3,0.03125,"OA"
110,4,0.015625,"OA"
111,2,0.984375,"OA"
111,3,0.15625,"OA"
111,4,0.015625,"OA"
117,2,0.21875,"OA"
117,3,0.234375,"OA"
117,4,0.109375,"OA"
118,2,0.21875,"OA"
118,3,0.109375,"OA"
118,4,0.234375,"OA"
133,2,0.96875,"OA"
133,3,0.578125,"OA"
133,4,0.140625,"OA"
139,2,0.984375,"OA"
139,3,0.9375,"OA"
139,4,0.984375,"OA"
141,2,0.953125,"OA"
141,3,0.78125,"OA"
141,4,0.015625,"OA"
131,2,0.4921875,"OA"
131,3,0.9765625,"OA"
131,4,0.3671875,"OA"
135,2,0.3046875,"OA"
135,3,0.0078125,"OA"
135,4,0.0078125,"OA"
136,2,0.9921875,"OA"
136,3,0.4921875,"OA"
136,4,0.0078125,"OA"
144,2,0.9921875,"OA"
144,3,0.9921875,"OA"
144,4,0.9921875,"OA"
147,2,0.8671875,"OA"
147,3,0.5546875,"OA"
147,4,0.6328125,"OA"
149,2,0.9453125,"OA"
149,3,0.0078125,"OA"
149,4,0.0078125,"OA"
150,2,0.9453125,"OA"
150,3,0.8828125,"OA"
150,4,0.2421875,"OA"
151,2,0.9765625,"OA"
151,3,0.4921875,"OA"
151,4,0.4609375,"OA"
152,2,0.6328125,"OA"
152,3,0.2109375,"OA"
152,4,0.0078125,"OA"
154,2,0.2109375,"OA"
154,3,0.0078125,"OA"
154,4,0.0234375,"OA"
157,2,0.0078125,"OA"
157,3,0.0078125,"OA"
157,4,0.0078125,"OA"
158,2,0.0078125,"OA"
158,3,0.0078125,"OA"
158,4,0.0078125,"OA"
159,2,0.0078125,"OA"
159,3,0.0078125,"OA"
159,4,0.0078125,"OA"
160,2,0.4921875,"OA"
160,3,0.2578125,"OA"
160,4,0.2890625,"OA"
161,2,0.4609375,"OA"
161,3,0.1640625,"OA"
161,4,0.2578125,"OA"
162,2,0.0078125,"OA"
162,3,0.0078125,"OA"
162,4,0.0078125,"OA"
163,2,0.8984375,"OA"
163,3,0.1328125,"OA"
163,4,0.0078125,"OA"
101,2,0.9921875,"YA"
101,3,0.9921875,"YA"
101,4,0.7421875,"YA"
101,5,0.4296875,"YA"
101,6,0.3671875,"YA"
102,2,0.9765625,"YA"
102,3,0.8671875,"YA"
102,4,0.5234375,"YA"
102,5,0.2109375,"YA"
102,6,0.2890625,"YA"
98,2,0.4921875,"YA"
98,3,0.4921875,"YA"
98,4,0.4921875,"YA"
98,5,0.5078125,"YA"
98,6,0.2421875,"YA"
104,2,0.9921875,"YA"
104,3,0.9453125,"YA"
104,4,0.6015625,"YA"
104,5,0.0546875,"YA"
104,6,0.0546875,"YA"
105,2,0.8671875,"YA"
105,3,0.8671875,"YA"
105,4,0.2109375,"YA"
105,5,0.0859375,"YA"
105,6,0.0390625,"YA"
106,2,0.1171875,"OA"
106,3,0.2421875,"OA"
106,4,0.2421875,"OA"
114,2,0.9921875,"YA"
114,3,0.9921875,"YA"
114,4,0.0078125,"YA"
114,5,0.0078125,"YA"
114,6,0.0078125,"YA"
119,2,0.9453125,"YA"
119,3,0.9453125,"YA"
119,4,0.8828125,"YA"
119,5,0.9453125,"YA"
119,6,0.9453125,"YA"
120,2,0.9921875,"YA"
120,3,0.4609375,"YA"
120,4,0.7890625,"YA"
120,5,0.2421875,"YA"
120,6,0.0859375,"YA"
121,2,0.1484375,"YA"
121,3,0.4921875,"YA"
121,4,0.0390625,"YA"
121,5,0.0703125,"YA"
121,6,0.0078125,"YA"
122,2,0.9921875,"YA"
122,3,0.9765625,"YA"
122,4,0.8828125,"YA"
122,5,0.4453125,"YA"
122,6,0.3203125,"YA"
123,2,0.8359375,"YA"
123,3,0.4921875,"YA"
123,4,0.1171875,"YA"
123,5,0.1015625,"YA"
123,6,0.0390625,"YA"
124,2,0.9609375,"YA"
124,3,0.7421875,"YA"
124,4,0.2421875,"YA"
124,5,0.4921875,"YA"
124,6,0.3203125,"YA"
125,2,0.9921875,"YA"
125,3,0.9921875,"YA"
125,4,0.8671875,"YA"
125,5,0.2578125,"YA"
125,6,0.0390625,"YA"
126,2,0.9921875,"YA"
126,3,0.9765625,"YA"
126,4,0.4296875,"YA"
126,5,0.5546875,"YA"
126,6,0.3046875,"YA"
127,2,0.9453125,"YA"
127,3,0.7421875,"YA"
127,4,0.7265625,"YA"
127,5,0.4296875,"YA"
127,6,0.2109375,"YA"
129,2,0.8828125,"YA"
129,3,0.8046875,"YA"
129,4,0.4921875,"YA"
129,5,0.2421875,"YA"
129,6,0.2421875,"YA"
130,2,0.9921875,"YA"
130,3,0.9765625,"YA"
130,4,0.7421875,"YA"
130,5,0.4921875,"YA"
130,6,0.4921875,"YA"
132,2,0.8671875,"YA"
132,3,0.8671875,"YA"
132,4,0.4921875,"YA"
132,5,0.6640625,"YA"
132,6,0.3671875,"YA"
138,2,0.9921875,"YA"
138,3,0.8671875,"YA"
138,4,0.6171875,"YA"
138,5,0.4921875,"YA"
138,6,0.6796875,"YA"
140,2,0.9921875,"YA"
140,3,0.4921875,"YA"
140,4,0.8671875,"YA"
140,5,0.4609375,"YA"
140,6,0.2421875,"YA"
142,2,0.9921875,"YA"
142,3,0.7421875,"YA"
142,4,0.4921875,"YA"
142,5,0.6171875,"YA"
142,6,0.2421875,"YA"
145,2,0.8984375,"YA"
145,3,0.6796875,"YA"
145,4,0.0546875,"YA"
145,5,0.1171875,"YA"
145,6,0.1171875,"YA"
146,2,0.8671875,"YA"
146,3,0.4921875,"YA"
146,4,0.2421875,"YA"
146,5,0.1953125,"YA"
146,6,0.1015625,"YA"
148,2,0.0546875,"YA"
148,3,0.0078125,"YA"
148,4,0.0078125,"YA"
148,5,0.0078125,"YA"
148,6,0.0078125,"YA"
97,2,0.9921875,"YA"
97,3,0.8671875,"YA"
97,4,0.7421875,"YA"
97,5,0.4921875,"YA"
97,6,0.4921875,"YA"
